"","year","month","avg_temp","max_temp","min_temp","preciptation","snow_inch","snow_mm"
"20",1996,"9",NA,71.9,31.551724137931,NA,NA,NA
"21",1996,"10",NA,61.1290322580645,26.6129032258065,NA,NA,NA
"22",1996,"11",NA,51.8,24.9,NA,NA,NA
"23",1996,"12",NA,42.4516129032258,24.2903225806452,NA,NA,NA
"24",1997,"1",NA,41.5483870967742,20.5333333333333,NA,NA,NA
"25",1997,"2",NA,45.1428571428571,19,NA,NA,NA
"26",1997,"3",NA,54.2258064516129,24.4333333333333,NA,NA,NA
"27",1997,"4",NA,53.4333333333333,27.1333333333333,NA,NA,NA
"28",1997,"5",NA,67.7741935483871,34.0322580645161,NA,NA,NA
"29",1997,"6",NA,68.4666666666667,38.0666666666667,NA,NA,NA
"30",1997,"7",NA,76.5483870967742,40,NA,NA,NA
"31",1997,"8",NA,79.7096774193548,38.5172413793103,NA,NA,NA
"32",1997,"9",NA,72.0333333333333,35.2857142857143,NA,NA,NA
"33",1997,"10",NA,61.1935483870968,26,NA,NA,NA
"34",1997,"11",NA,51.8333333333333,22.1724137931034,NA,NA,NA
"35",1998,"1",NA,41.4193548387097,19.0967741935484,NA,NA,NA
"36",1998,"2",NA,38.1071428571429,18.1071428571429,NA,NA,NA
"37",1998,"3",NA,46.7096774193548,20.4827586206897,NA,NA,NA
"38",1998,"4",NA,49.3666666666667,25.9655172413793,NA,NA,NA
"39",1998,"5",NA,51.1935483870968,29.4193548387097,NA,NA,NA
"40",1998,"6",NA,65.6,36.4827586206897,NA,NA,NA
"41",1998,"7",NA,80.3870967741936,40.5666666666667,NA,NA,NA
"42",1998,"8",NA,81.8064516129032,39.3548387096774,NA,NA,NA
"43",1998,"9",NA,70.9,38,NA,NA,NA
"44",1998,"10",NA,58.5806451612903,25.7,NA,NA,NA
"45",1998,"11",NA,47.5666666666667,23.0666666666667,NA,NA,NA
"46",1998,"12",NA,42.4516129032258,11.1333333333333,NA,NA,NA
"47",1999,"1",NA,43.3870967741936,17.6551724137931,NA,NA,NA
"48",1999,"2",NA,41,14.3703703703704,NA,NA,NA
"49",1999,"3",NA,45.8064516129032,21.0322580645161,NA,NA,NA
"50",1999,"4",NA,47.3333333333333,23.6296296296296,NA,NA,NA
"51",1999,"5",NA,62.0967741935484,30.7741935483871,NA,NA,NA
"52",1999,"6",NA,69.6,35.4,NA,NA,NA
"53",1999,"7",NA,79.1612903225806,39.9310344827586,NA,NA,NA
"54",1999,"8",NA,75.4193548387097,38.0689655172414,NA,NA,NA
"55",1999,"9",NA,74.9333333333333,34.1724137931034,NA,NA,NA
"56",1999,"10",NA,68.5862068965517,26,NA,NA,NA
"57",1999,"11",NA,56.2758620689655,23.3666666666667,NA,NA,NA
"58",1999,"12",NA,47.3225806451613,16.1333333333333,NA,NA,NA
"59",2000,"1",35.578853046595,42.9677419354839,21.7857142857143,0.0338673835125448,NA,NA
"60",2000,"2",35.578853046595,43.1785714285714,22.1724137931034,0.0338673835125448,NA,NA
"61",2000,"3",35.578853046595,50.0645161290323,22.0967741935484,0.0338673835125448,NA,NA
"62",2000,"4",35.578853046595,58.8666666666667,28.2333333333333,0.0338673835125448,NA,NA
"63",2000,"5",35.578853046595,64.1612903225806,34.3225806451613,0.0338673835125448,NA,NA
"64",2000,"6",35.578853046595,77.2,38.1,0.0338673835125448,NA,NA
"65",2000,"7",35.578853046595,77.741935483871,37.4333333333333,0.0338673835125448,NA,NA
"66",2000,"8",35.578853046595,80.3870967741936,39.0333333333333,0.0338673835125448,NA,NA
"67",2000,"9",35.578853046595,72,33.2068965517241,0.0338673835125448,NA,NA
"68",2000,"10",42.5806451612903,58.7096774193548,27.3870967741935,0.0506451612903226,NA,NA
"69",2000,"11",31.8333333333333,44.5666666666667,18.5666666666667,0.0296666666666667,NA,NA
"70",2000,"12",32.3225806451613,44.4193548387097,19.741935483871,0.0212903225806452,NA,NA
"71",2001,"1",25.7037037037037,38.8518518518519,12,0.0133333333333333,NA,NA
"72",2001,"2",25.8214285714286,36.9285714285714,14.2857142857143,0.0407142857142857,NA,NA
