GEnZ_ID,GEnZ_Name
1,Arctic 1
2,Arctic 2
3,Extremely cold and wet 1
4,Extremely cold and wet 2
5,Cold and wet
6,Extremely cold and mesic
7,Cold and mesic
8,Cool temperate and dry
9,Cool temperate and xeric
10,Cool temperate and moist
11,Warm temperate and mesic
12,Warm temperate and xeric
13,Hot and mesic
14,Hot and dry
15,Hot and arid
16,Extremely hot and arid
17,Extremely hot and xeric
18,Extremely hot and moist
